,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.000698139092161298,0.018251702117992125,0.0016059899655787,0.5510026155187445,-37.13186085904362,252,0.9852884270888914,0.0002739548586080608,0.03172808044805988,-0.030293925616076883,-0.04289167868812699,0.0004259356112807501,0.47716083219553207,0.021672565303948597
AAL,-0.00040240615376224714,0.03986222718585194,-0.001394732046782,0.4699215344376635,-84.53908025804473,3,1.39406601171087,-0.0010025764251693258,-0.013081400855468071,-0.05749955840667549,-0.0853351397065493,0.0005532576509653084,-3.94873970330806,-0.023509737938739114
AAP,0.0007361259444649093,0.021333416608469026,0.0006065755230024,0.5196163905841326,-59.38176792796162,588,0.8880888829584268,0.0003537878475302903,0.028925433592869504,-0.02946289170248695,-0.04929565834403777,0.00039566084896337767,0.6182565192989161,0.017342781794459295
AAPL,0.0013236471306191286,0.020874349488527663,0.0014104823341263,0.5353095030514385,-38.72969450862441,256,1.2132002902807193,0.0008013427767561928,0.0577071641074873,-0.03174753730322137,-0.04769627502712433,0.0004969233669247549,0.3291953395202699,0.06845355634397686
ABBV,0.0005395401450911968,0.01837337112092259,0.0012471724961182,0.5405405405405406,-48.88401914599662,974,0.71012528038297,0.0002338185517948901,0.022885975756770288,-0.02565821206158293,-0.04392086596076997,0.00034023048848881023,0.6256823878973677,0.006770554048449388
ABC,0.0005584588660190394,0.01932215587042106,0.0013354957956577,0.5387968613775065,-32.91619275287064,701,0.8180301254568076,0.00020628231319421981,0.02274131571643537,-0.030024616257177016,-0.0441258602207604,0.0003738396331275806,0.6685285706756396,0.008013799184657115
ABMD,0.0007557197660071948,0.02887706590701391,0.0015653758983635,0.5274629468177855,-70.98165769720126,69,0.984438158333751,0.00033190158831161053,0.022047674407424316,-0.043067629650142825,-0.06884120619930739,0.00042567077789394724,1.103431421152065,0.012724939720986282
ABT,0.0006781900286223966,0.01696173058995523,0.0011762689240339,0.5405405405405406,-31.613325411032843,139,0.8699872127168078,0.00030364502344280934,0.032964938725409475,-0.026019007823387768,-0.03892732018418133,0.00039002271795139583,0.42421783344504027,0.020223238579057962
ACN,0.0007069401784939391,0.01770364720722077,0.0015698518633029,0.5536181342632955,-35.330512442145704,127,1.0792684446721736,0.00024229587189826502,0.03320742627578665,-0.029749201035354198,-0.042450931152396,0.00045520758699184387,0.4433460340384698,0.027946205757411646
ADI,0.000760767927636893,0.022112758086511204,0.0013690258425389,0.5309503051438536,-34.02599184883872,307,1.2436360372201265,0.00022536044210899142,0.02902036489879223,-0.03271292624111944,-0.049758947525629156,0.0005064031953826483,0.6427374925115786,0.022676421074980444
ADM,0.000700975728752119,0.017160367274570994,0.0013020634133791,0.5387968613775065,-43.406064978162426,514,0.8327131371208714,0.0003424778776376442,0.03391116870597679,-0.02579432265503327,-0.04192478505517904,0.00037841295383818065,0.4200975767340745,0.02070522478596065
ADP,0.0007136153159034323,0.017925945282854492,0.0015687559268044,0.5475152571926766,-39.82344844423481,264,1.0508089706695514,0.00026122332024050554,0.033167996860087236,-0.02593474508410219,-0.04319676539810527,0.00044634330867845636,0.4502979506221493,0.02624695104923927
ADSK,0.0008607654251071287,0.025910042145601907,0.0013400287817644,0.5274629468177855,-51.9940389655281,147,1.3529114197659173,0.00027831293923513895,0.028626653785100556,-0.03917338621075227,-0.05894611261257429,0.0005404392216141425,0.7799224555323129,0.022878779926948953
AEE,0.0004885424071315206,0.016000631530652742,0.0010399598479153,0.5414123801220575,-29.516481971995624,360,0.6288007000364636,0.0002178324955264769,0.02309251277838957,-0.0214368798285668,-0.03714924150303607,0.0003149003044578456,0.5240491012498645,0.0040228066928036784
AEP,0.00035285547469568023,0.014743153220365209,0.001129288206378,0.5457715780296426,-32.90520581668011,538,0.5083158086293368,0.00013401645684230572,0.015858741488563966,-0.02000423067041775,-0.035161011767794965,0.0002773728501594059,0.6160045187526915,-0.005305913422738807
AES,0.000795254400181442,0.022856227881139314,0.001429625310285,0.5292066259808196,-54.54113120553769,186,1.0227711394204393,0.0003549331907288425,0.029585230977322408,-0.032687619296661946,-0.055426319125736576,0.00043761035952159485,0.6569057056903801,0.020149725569697876
AFL,0.00041748532412915894,0.020362516327354214,0.0011160970082653,0.5440278988666085,-55.58094440345196,474,1.0027733942404853,-1.4226499504290573e-05,0.014656229136112725,-0.02719716896325205,-0.046816423026948197,0.0004313816576524394,0.993165620963219,-0.0008642077354878971
AIG,0.00022331697909043035,0.025918562999063553,0.0005869453910904,0.5126416739319966,-71.01851882376361,2,1.2590217794944727,-0.00031871434278311255,0.004022960688313568,-0.03627325273563057,-0.06211603451801134,0.0005111953957432485,3.0081541971083077,-0.010505317045766543
AIZ,0.0006542427223033165,0.018566957698692394,0.0010563962629668,0.5422842197035745,-43.57984756414507,233,0.8516132089687616,0.0002876080533084312,0.028825137211003035,-0.024855740903735067,-0.04223206057081668,0.0003842997631652709,0.5269174672228298,0.015300551107396584
