"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28 июл. 2022 г.","6,254","6,393","6,443","6,252","","-2,71%"
"27 июл. 2022 г.","6,429","6,487","6,492","6,387","","-2,36%"
"26 июл. 2022 г.","6,584","6,560","6,652","6,557","","0,75%"
"25 июл. 2022 г.","6,535","6,540","6,591","6,487","","0,00%"
"22 июл. 2022 г.","6,535","6,553","6,633","6,518","","-0,28%"
"21 июл. 2022 г.","6,554","6,573","6,635","6,538","","-0,36%"
"20 июл. 2022 г.","6,577","6,636","6,657","6,566","","-1,26%"
"19 июл. 2022 г.","6,661","6,663","6,671","6,573","","-1,40%"
"18 июл. 2022 г.","6,756","6,609","6,782","6,574","","1,50%"
"15 июл. 2022 г.","6,656","6,734","6,766","6,634","","-2,45%"
"14 июл. 2022 г.","6,823","6,919","6,983","6,802","","0,74%"
"13 июл. 2022 г.","6,773","6,894","6,898","6,733","","-0,08%"
"12 июл. 2022 г.","6,778","6,739","6,830","6,671","","0,45%"
"11 июл. 2022 г.","6,747","6,701","6,775","6,675","","1,72%"
"08 июл. 2022 г.","6,634","6,710","6,715","6,602","","-1,16%"
"07 июл. 2022 г.","6,712","6,707","6,725","6,642","","-0,52%"
"06 июл. 2022 г.","6,747","6,808","6,880","6,742","","-0,73%"
"05 июл. 2022 г.","6,797","6,926","6,988","6,792","","-0,05%"
"04 июл. 2022 г.","6,800","6,800","6,800","6,800","","0,00%"
"01 июл. 2022 г.","6,800","6,933","7,002","6,793","","-1,45%"
"30 июн. 2022 г.","6,900","6,938","7,020","6,861","","1,12%"
"29 июн. 2022 г.","6,824","6,818","6,906","6,791","","0,32%"
"28 июн. 2022 г.","6,802","6,637","6,846","6,602","","1,72%"
"27 июн. 2022 г.","6,687","6,741","6,780","6,640","","-1,36%"
"24 июн. 2022 г.","6,779","6,771","6,781","6,704","","-1,14%"
"23 июн. 2022 г.","6,857","6,821","6,959","6,795","","0,14%"
"22 июн. 2022 г.","6,848","7,057","7,065","6,848","","-2,13%"
"21 июн. 2022 г.","6,997","6,944","6,999","6,859","","-1,51%"
"20 июн. 2022 г.","7,104","7,104","7,104","7,104","","0,00%"
"17 июн. 2022 г.","7,104","7,240","7,286","7,068","","-2,41%"
"16 июн. 2022 г.","7,280","7,162","7,347","7,130","","4,33%"
"15 июн. 2022 г.","6,978","7,125","7,137","6,795","","-3,49%"
"14 июн. 2022 г.","7,230","7,347","7,408","7,191","","-1,87%"
"13 июн. 2022 г.","7,368","7,180","7,424","7,136","","6,75%"
"10 июн. 2022 г.","6,903","6,796","6,959","6,751","","4,28%"
"09 июн. 2022 г.","6,619","6,511","6,631","6,461","","2,71%"
"08 июн. 2022 г.","6,445","6,491","6,528","6,413","","0,03%"
"07 июн. 2022 г.","6,443","6,668","6,670","6,433","","-1,68%"
"06 июн. 2022 г.","6,553","6,506","6,602","6,481","","-0,43%"
"03 июн. 2022 г.","6,581","6,580","6,629","6,534","","0,94%"
"02 июн. 2022 г.","6,520","6,660","6,677","6,477","","-1,82%"
