Name;Ticker;Sector
S&P Global Inc.;SPGI;Commercial Services
Moody’s Corporation;MCO;Commercial Services
Copart, Inc.;CPRT;Commercial Services
Equifax, Inc.;EFX;Commercial Services
FleetCor Technologies, Inc.;FLT;Commercial Services
Charles River Laboratories International, Inc.;CRL;Commercial Services
Omnicom Group Inc.;OMC;Commercial Services
Interpublic Group of Companies, Inc. (The);IPG;Commercial Services
Robert Half International Inc.;RHI;Commercial Services
Nielsen N.V.;NLSN;Commercial Services
Verizon Communications Inc.;VZ;Communications
AT&T Inc.;T;Communications
T-Mobile US, Inc.;TMUS;Communications
Lumen Technologies, Inc.;LUMN;Communications
Tesla, Inc.;TSLA;Consumer Durables
General Motors Company;GM;Consumer Durables
Ford Motor Company;F;Consumer Durables
Activision Blizzard, Inc;ATVI;Consumer Durables
Electronic Arts Inc.;EA;Consumer Durables
D.R. Horton, Inc.;DHI;Consumer Durables
Stanley Black & Decker, Inc.;SWK;Consumer Durables
Take-Two Interactive Software, Inc.;TTWO;Consumer Durables
NVR, Inc.;NVR;Consumer Durables
LKQ Corporation;LKQ;Consumer Durables
PulteGroup, Inc.;PHM;Consumer Durables
Whirlpool Corporation;WHR;Consumer Durables
Hasbro, Inc.;HAS;Consumer Durables
Mohawk Industries, Inc.;MHK;Consumer Durables
Snap-On Incorporated;SNA;Consumer Durables
Procter & Gamble Company (The);PG;Consumer Non-Durables
Nike, Inc.;NKE;Consumer Non-Durables
Coca-Cola Company (The);KO;Consumer Non-Durables
PepsiCo, Inc.;PEP;Consumer Non-Durables
Philip Morris International Inc;PM;Consumer Non-Durables
Estee Lauder Companies, Inc. (The);EL;Consumer Non-Durables
Mondelez International, Inc.;MDLZ;Consumer Non-Durables
Altria Group, Inc.;MO;Consumer Non-Durables
Colgate-Palmolive Company;CL;Consumer Non-Durables
Monster Beverage Corporation;MNST;Consumer Non-Durables
Kimberly-Clark Corporation;KMB;Consumer Non-Durables
Constellation Brands, Inc.;STZ;Consumer Non-Durables
The Kraft Heinz Company;KHC;Consumer Non-Durables
General Mills, Inc.;GIS;Consumer Non-Durables
The Hershey Company;HSY;Consumer Non-Durables
International Flavors & Fragrances, Inc.;IFF;Consumer Non-Durables
Brown Forman Inc;BF.B;Consumer Non-Durables
Tyson Foods, Inc.;TSN;Consumer Non-Durables
V.F. Corporation;VFC;Consumer Non-Durables
Hormel Foods Corporation;HRL;Consumer Non-Durables
McCormick & Company, Incorporated;MKC;Consumer Non-Durables
Church & Dwight Company, Inc.;CHD;Consumer Non-Durables
Kellogg Company;K;Consumer Non-Durables
Clorox Company (The);CLX;Consumer Non-Durables
ConAgra Brands, Inc.;CAG;Consumer Non-Durables
J.M. Smucker Company (The) New;SJM;Consumer Non-Durables
Campbell Soup Company;CPB;Consumer Non-Durables
Molson Coors Beverage Company;TAP;Consumer Non-Durables
Lamb Weston Holdings, Inc.;LW;Consumer Non-Durables
Under Armour, Inc.;UAA;Consumer Non-Durables
Under Armour, Inc.;UA;Consumer Non-Durables
PVH Corp.;PVH;Consumer Non-Durables
Walt Disney Company (The);DIS;Consumer Services
Comcast Corporation;CMCSA;Consumer Services
McDonald’s Corporation;MCD;Consumer Services
Starbucks Corporation;SBUX;Consumer Services
Charter Communications, Inc.;CHTR;Consumer Services
Booking Holdings Inc. Common Stock;BKNG;Consumer Services
Marriott International;MAR;Consumer Services
Chipotle Mexican Grill, Inc.;CMG;Consumer Services
Cintas Corporation;CTAS;Consumer Services
Hilton Worldwide Holdings Inc.;HLT;Consumer Services
Yum! Brands, Inc.;YUM;Consumer Services
Las Vegas Sands Corp.;LVS;Consumer Services
Expedia Group, Inc.;EXPE;Consumer Services
Live Nation Entertainment, Inc.;LYV;Consumer Services
MGM Resorts International;MGM;Consumer Services
ViacomCBS Inc.;VIAC;Consumer Services
Fox Corporation;FOX;Consumer Services
Fox Corporation;FOXA;Consumer Services
D/B/A Royal Caribbean Cruises Ltd.;RCL;Consumer Services
Domino’s Pizza Inc;DPZ;Consumer Services
Caesars Entertainment, Inc.;CZR;Consumer Services
Darden Restaurants, Inc.;DRI;Consumer Services
DISH Network Corporation;DISH;Consumer Services
Rollins, Inc.;ROL;Consumer Services
News Corporation;NWSA;Consumer Services
News Corporation;NWS;Consumer Services
Discovery, Inc. – Series A;DISCA;Consumer Services
Discovery, Inc. – Series C;DISCK;Consumer Services
Wynn Resorts, Limited;WYNN;Consumer Services
Norwegian Cruise Line Holdings Ltd.;NCLH;Consumer Services
Penn National Gaming, Inc.;PENN;Consumer Services
Sysco Corporation;SYY;Distribution Services
McKesson Corporation;MCK;Distribution Services
Fastenal Company;FAST;Distribution Services
AmerisourceBergen Corporation;ABC;Distribution Services
W.W. Grainger, Inc.;GWW;Distribution Services
Pool Corporation;POOL;Distribution Services
Genuine Parts Company;GPC;Distribution Services
Cardinal Health, Inc.;CAH;Distribution Services
Henry Schein, Inc.;HSIC;Distribution Services
Apple Inc.;AAPL;Electronic Technology
NVIDIA Corporation;NVDA;Electronic Technology
Broadcom Inc.;AVGO;Electronic Technology
Intel Corporation;INTC;Electronic Technology
QUALCOMM Incorporated;QCOM;Electronic Technology
Advanced Micro Devices, Inc.;AMD;Electronic Technology
Texas Instruments Incorporated;TXN;Electronic Technology
Raytheon Technologies Corporation;RTX;Electronic Technology
Boeing Company (The);BA;Electronic Technology
Micron Technology, Inc.;MU;Electronic Technology
Lam Research Corporation;LRCX;Electronic Technology
Lockheed Martin Corporation;LMT;Electronic Technology
Analog Devices, Inc.;ADI;Electronic Technology
KLA Corporation;KLAC;Electronic Technology
NXP Semiconductors N.V.;NXPI;Electronic Technology
Northrop Grumman Corporation;NOC;Electronic Technology
General Dynamics Corporation;GD;Electronic Technology
Xilinx, Inc.;XLNX;Electronic Technology
Fortinet, Inc.;FTNT;Electronic Technology
TE Connectivity Ltd. New Switzerland Registered Shares;TEL;Electronic Technology
Amphenol Corporation;APH;Electronic Technology
Microchip Technology Incorporated;MCHP;Electronic Technology
Motorola Solutions, Inc.;MSI;Electronic Technology
Arista Networks, Inc.;ANET;Electronic Technology
L3Harris Technologies, Inc.;LHX;Electronic Technology
HP Inc.;HPQ;Electronic Technology
Keysight Technologies Inc.;KEYS;Electronic Technology
Transdigm Group Inc.;TDG;Electronic Technology
Corning Incorporated;GLW;Electronic Technology
Zebra Technologies Corporation;ZBRA;Electronic Technology
Teradyne, Inc.;TER;Electronic Technology
Skyworks Solutions, Inc.;SWKS;Electronic Technology
Fortive Corporation;FTV;Electronic Technology
Garmin Ltd.;GRMN;Electronic Technology
Seagate Technology Holdings PLC;STX;Electronic Technology
Enphase Energy, Inc.;ENPH;Electronic Technology
Monolithic Power Systems, Inc.;MPWR;Electronic Technology
Trimble Inc.;TRMB;Electronic Technology
Hewlett Packard Enterprise Company;HPE;Electronic Technology
Teledyne Technologies Incorporated;TDY;Electronic Technology
