,ticker,sector
0,SPGI,Financial
1,MCO,Financial
2,CPRT,Industrials
3,EFX,Industrials
4,FLT,Technology
5,CRL,Healthcare
6,OMC,Communication Services
7,IPG,Communication Services
8,RHI,Industrials
9,NLSN,Industrials
10,VZ,Communication Services
11,T,Communication Services
12,TMUS,Communication Services
13,LUMN,Communication Services
14,TSLA,Consumer Cyclical
15,GM,Consumer Cyclical
16,F,Consumer Cyclical
17,ATVI,Communication Services
18,EA,Communication Services
19,DHI,Consumer Cyclical
20,SWK,Industrials
21,TTWO,Communication Services
22,NVR,Consumer Cyclical
23,LKQ,Consumer Cyclical
24,PHM,Consumer Cyclical
25,WHR,Consumer Cyclical
26,HAS,Consumer Cyclical
27,MHK,Consumer Cyclical
28,SNA,Industrials
29,PG,Consumer Defensive
30,NKE,Consumer Cyclical
31,KO,Consumer Defensive
32,PEP,Consumer Defensive
33,PM,Consumer Defensive
34,EL,Consumer Defensive
35,MDLZ,Consumer Defensive
36,MO,Consumer Defensive
37,CL,Consumer Defensive
38,MNST,Consumer Defensive
39,KMB,Consumer Defensive
40,STZ,Consumer Defensive
41,KHC,Consumer Defensive
42,GIS,Consumer Defensive
43,HSY,Consumer Defensive
44,IFF,Basic Materials
45,TSN,Consumer Defensive
46,VFC,Consumer Cyclical
47,HRL,Consumer Defensive
48,MKC,Consumer Defensive
49,CHD,Consumer Defensive
50,K,Consumer Defensive
51,CLX,Consumer Defensive
52,CAG,Consumer Defensive
53,SJM,Consumer Defensive
54,CPB,Consumer Defensive
55,TAP,Consumer Defensive
56,LW,Consumer Defensive
57,UAA,Consumer Cyclical
58,UA,Consumer Cyclical
59,PVH,Consumer Cyclical
60,DIS,Communication Services
61,CMCSA,Communication Services
62,MCD,Consumer Cyclical
63,SBUX,Consumer Cyclical
64,CHTR,Communication Services
65,BKNG,Consumer Cyclical
66,MAR,Consumer Cyclical
67,CMG,Consumer Cyclical
68,CTAS,Industrials
69,HLT,Consumer Cyclical
70,YUM,Consumer Cyclical
71,LVS,Consumer Cyclical
72,EXPE,Consumer Cyclical
73,LYV,Communication Services
74,MGM,Consumer Cyclical
75,RCL,Consumer Cyclical
76,DPZ,Consumer Cyclical
77,CZR,Consumer Cyclical
78,DRI,Consumer Cyclical
79,DISH,Communication Services
80,ROL,Consumer Cyclical
81,NWSA,Communication Services
82,NWS,Communication Services
83,DISCA,Communication Services
84,DISCK,Communication Services
85,WYNN,Consumer Cyclical
86,NCLH,Consumer Cyclical
87,PENN,Consumer Cyclical
88,SYY,Consumer Defensive
89,MCK,Healthcare
90,FAST,Industrials
91,ABC,Healthcare
92,GWW,Industrials
93,POOL,Consumer Cyclical
94,GPC,Consumer Cyclical
95,CAH,Healthcare
96,HSIC,Healthcare
97,AAPL,Technology
98,NVDA,Technology
99,AVGO,Technology
100,INTC,Technology
101,QCOM,Technology
102,AMD,Technology
103,TXN,Technology
104,RTX,Industrials
105,BA,Industrials
106,MU,Technology
107,LRCX,Technology
108,LMT,Industrials
109,ADI,Technology
110,KLAC,Technology
111,NXPI,Technology
112,NOC,Industrials
113,GD,Industrials
114,FTNT,Technology
115,TEL,Technology
116,APH,Technology
117,MCHP,Technology
118,MSI,Technology
119,ANET,Technology
120,LHX,Industrials
121,HPQ,Technology
122,KEYS,Technology
123,TDG,Industrials
124,GLW,Technology
125,ZBRA,Technology
126,TER,Technology
127,SWKS,Technology
128,FTV,Technology
129,GRMN,Technology
130,STX,Technology
131,ENPH,Technology
132,MPWR,Technology
133,TRMB,Technology
134,HPE,Technology
135,TDY,Technology
136,WDC,Technology
137,NTAP,Technology
138,QRVO,Technology
139,TXT,Industrials
140,FFIV,Technology
141,HWM,Industrials
142,IPGP,Technology
143,HII,Industrials
144,XOM,Energy
145,CVX,Energy
146,COP,Energy
147,EOG,Energy
148,PXD,Energy
149,MPC,Energy
150,PSX,Energy
151,VLO,Energy
152,DVN,Energy
153,OXY,Energy
154,HES,Energy
155,FANG,Energy
156,CTRA,Energy
157,MRO,Energy
158,APA,Energy
159,JPM,Financial
160,V,Financial
161,BAC,Financial
162,MA,Financial
163,WFC,Financial
164,MS,Financial
165,SCHW,Financial
166,BLK,Financial
167,AMT,Real Estate
