,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,-0.18827598937767878,-0.24860179033363475,-0.15703851778610137,-0.3059298728605172,-0.30303408843646173,-0.3186565288459662,-0.26633571568370185,0.02453871401052613,-0.19042732004401683,-0.21718698633116595,-0.24411957479269028,-0.256047547339992,-0.2285370342710273,-0.269868427773238,-0.15853018470369692,-0.18450360370575802,-0.07792727833490694,-0.1798134063815872,-0.1850802847020024,-0.05551531939892704,-0.3212446641618403,-0.04471798672804891,-0.2598378544914343,-0.194386016661218,-0.14272974677596853,-0.1487464214825634,-0.15938908944128805,-0.22338289550826274,-0.15399959155290696,-0.1626257794837779,-0.19556310381039782,-0.15908406292532692,-0.22482080884159536,-0.15256323174694567,-0.07704134292142706,-0.36048230468086107,-0.1845289168108129,-0.13803059353856992,-0.3020088499176396,-0.0956544481215607,-0.30570071953722344,-0.18827598937767878,-0.3136493446607996,-0.19853912960645761
2018-11-30,0.03744122622412747,0.06629287469092199,0.00474756456811371,0.024360295908963433,0.0006043829012750523,0.04798881226356747,0.018372311222447892,0.018946504997496057,0.012294415480600101,-0.004714410769655083,0.01374915148600223,0.0056220345371709645,0.004851665050926143,-0.02444899690690565,0.032638391169043594,-0.02740805372756583,-0.09504489265829351,0.038917090674165156,-0.013659955657110028,0.09701050813212575,0.12840015975888044,0.02779657309172112,0.10844669657070263,-0.0020363020565301016,0.053665232063488166,-0.029600235532010306,0.059236129204946635,-0.02123096740064576,-0.025689886781269086,0.0646212201193141,-0.03470232331296061,-0.05328548751223346,-0.05685248910390201,-0.04488910527969799,0.01292425764474636,-0.047308303491759324,0.05508939887569806,0.06266294013736567,0.01909305015972442,0.04933192324066578,-0.003866277968012289,0.03744122622412747,-0.03124562595203755,-0.1144383452814108
