clust_method,mean_return,mean_risk,max_drawndown,max_recovery,mean_ranks_port
neur_lstm_Kmean,0.042188203458911167,0.021468001667164407,-2.4007042755066377,46.0,1.3333333333333333
neur_mlp_Kmean,0.043990775932340576,0.021784867666594848,-2.332412832394104,46.0,1.3333333333333333
neur_conv_Kmean,0.038075952668308766,0.021822969539256578,-2.969226027305283,47.0,3.3333333333333335
deco_isom_Kmean,0.041055471209139105,0.022057807034114862,-3.0839938383719234,46.0,4.0
deco_pca_Kmean,0.04316801363812783,0.022725717427889022,-2.856582025833232,47.0,4.0
orig__MiniB,0.04397686931144107,0.02301919217870934,-2.7956337915091,46.0,4.0
orig__rando,0.04139141587956208,0.02282261382196475,-3.046145475017248,47.0,5.0
deco_fast_Kmean,0.040666088668516176,0.02270397310354067,-3.2610801712075532,47.0,5.333333333333333
orig__origi,0.04322285321536823,0.02343273783846225,-3.18124466878994,46.0,6.0
tabl__Kmean,0.036313793946739725,0.023978693318641005,-3.4731982494453417,112.0,7.666666666666667
